prompts,answers
"QUESTION1) 영어 및 정보 등에 관하여 일정한 기준의 능력이나 자격을 취득한 경우 인정 받는 학점은 몇점인가?
(A) 인정 안됨
(B) 1학점
(C) 2학점
(D) 3학점",(A)
"QUESTION2) LMS 시스템의 초기 비밀번호는 무엇으로 설정되어 있습니까?
(A) 사용자가 직접 설정
(B) 본인 생년월일
(C) 0000
(D) 임의 지정된 숫자",(B)
"QUESTION3) 비대면 수업을 위해 필요한 필수 장비는 무엇입니까?
(A) 컴퓨터, 카메라, 마이크
(B) 필기구와 종이
(C) USB 드라이브
(D) 추가 모니터",(A)
"QUESTION4) 학생 포털에서 본인의 성적을 조회할 수 있는 시기는 언제입니까?
(A) 시험 직후
(B) 성적 입력 마감 후
(C) 학기 초
(D) 졸업 후에만 조회 가능",(B)
"QUESTION5) 온라인 수업 출석 인정 기준은 무엇입니까?
(A) 접속 후 5분 내 퇴장해도 인정됨
(B) 최소 80% 수업 시청
(C) 질문 게시판에 참여
(D) 시험 응시 여부로만 결정",(B)
"QUESTION6) In Singer’s understanding, the principle of the equality of human beings is
(A) a description of an alleged actual equality among humans.
(B) a description of an alleged equality among all living beings.
(C) a prescription of how we should treat nonhuman animals.
(D) a description of an alleged inequality among all living beings.
(E) a prescription of how we should treat humans.
(F) a description of an alleged actual inequality among humans.
(G) a description of an alleged actual superiority of humans over nonhuman animals.
(H) a prescription of how we should treat both human and nonhuman animals equally.
(I) a prescription of how we should treat nonhuman animals differently.
(J) a prescription of how we should treat the environment.",(E)
"QUESTION7) Ms. Chen purchased a used car, worth $1,650, on the installment plan, paying $50 down and $1,840 in monthly installment payments over a period of two years. What annual interest rate did she pay?
(A) 10%
(B) 17.5%
(C) 15.2%
(D) 13.3%
(E) 20%
(F) 19.8%
(G) 18%
(H) 16%
(I) 12%
(J) 14.4%",(J)
"QUESTION8) Functions of the law include all but which of the following?
(A) defining the limits of government power
(B) regulating the use of public spaces
(C) keeping the peace
(D) maximizing individual freedom
(E) maintaining order and stability
(F) preventing environmental degradation
(G) providing a basis for compromise
(H) promoting social justice
(I) promoting the principles of the free enterprise system
(J) encouraging economic growth",(I)
"QUESTION9) The ________ School of jurisprudence postulates that the law is based on what is “correct.”
(A) Legal Pragmatism
(B) Legal Formalism
(C) Comparative
(D) Analytical
(E) Sociological
(F) Historical
(G) Critical Legal Studies
(H) Realist
(I) Positivist
(J) Natural Law
",(J)
"QUESTION10) Which of the following Enlightenment philosophes designed a system of checks and balances for government to avoid abuses of power?
(A) Thomas Hobbes
(B) Jean Jacques Rousseau
(C) Baron Montesquieu
(D) Voltaire
(E) Denis Diderot
(F) Immanuel Kant
(G) David Hume
(H) Mary Wollstonecraft
(I) Adam Smith
(J) John Locke",(C)
"QUESTION11) 소속 학부 또는 학과의 변경(이하 ‘전과’)의 허가는 어느 시기에 가능한가?
(A) 매 학기 말
(B) 매 학년도 말
(C) 매 학기 시작
(D) 매 학년도 시작",(B)
"QUESTION12) 재학 중인 자가 휴학을 하고자 하는 경우에 가능한 시기는?
(A) 학기개시일로부터 30일 이내
(B) 학기개시일로부터 90일 이내
(C) 1 학기 수업시간의 2분의 1 이내
(D) 1 학기 수업시간의 3분의 1 이내",(B)
"QUESTION13) 1학기 수업시간의 어느 정도를 결석하면 그 교과목의 성적을 F 또는 U로 받는가?
(A) 2분의 1 이상
(B) 3분의 1 이상
(C) 4분의 1 이상
(D) 6분의 1 이상 !",(D)
"QUESTION14) 2개 이상의 전공을 지칭하는 단어는?
(A) 연계전공
(B) 융합전공
(C) 심화전공
(D) 복수전공",(D)
"QUESTION15) 졸업에 필요한 학점은?
(A) 124 학점
(B) 129 학점
(C) 136 학점
(D) 140 학점",(B)
"QUESTION16) 등록금 반환사유에 해당하지 않는 것은?
(A) 입학허가를 받은 자가 입학포기한 경우
(B) 재학중인 자가 자퇴한 경우
(C) 재학중인 자가 휴학한 경우
(D) 한 학기 최소 학점을 넘기지 못한 경우",(D)
"QUESTION17) 조형예술대학에 포함되지 않는 학과 또는 전공은?
(A) 시각정보디자인
(B) 패션디자인
(C) 도자예술
(D) 공간디자인",(D)
"QUESTION18) 졸업증서에 작성되어 있지 않은 항목은?
(A) 학위번호
(B) 전공
(C) 부전공
(D) 취득 학점",(D)
